Date,Shanghai,DAX,FTSE,NIKKEI,NYSE,Nifty
11-06-2015,5121.592773,11332.78027,6846.700195,20382.9707,11080.50977,7965.350098
12-06-2015,5166.350098,11196.49023,6784.899902,20407.08008,11009.91016,7982.899902
15-06-2015,5062.993164,10984.96973,6710.5,20387.78906,10949.54004,8013.899902
16-06-2015,4887.432129,11044.00977,6710.100098,20257.93945,10997.66016,8047.299805
17-06-2015,4967.897949,10978.00977,6680.600098,20219.26953,11013.66016,8091.549805
18-06-2015,4785.355957,11100.29981,6707.899902,19990.82031,11100.46973,8174.600098
19-06-2015,4478.36377,11040.09961,6710.5,20174.24023,11038.95996,8224.950195
23-06-2015,4576.492188,11542.54004,6834.899902,20809.41992,11149.36035,8381.549805
24-06-2015,4690.149902,11471.25977,6844.799805,20868.0293,11066.13965,8360.849609
25-06-2015,4527.778809,11473.12988,6807.799805,20771.40039,11035.73047,8398
26-06-2015,4192.873047,11492.42969,6753.700195,20706.15039,11040.30957,8381.099609
29-06-2015,4053.030029,11083.2002,6620.5,20109.94922,10790.33008,8318.400391
30-06-2015,4277.222168,10944.96973,6521,20235.73047,10805.2002,8368.5
01-07-2015,4053.699951,11180.5,6608.600098,20329.32031,10858.99023,8453.049805
02-07-2015,3912.76709,11099.34961,6630.5,20522.5,10864.82031,8444.900391
06-07-2015,3775.912109,10890.62988,6535.700195,20112.11914,10782.67969,8522.150391
07-07-2015,3727.125,10676.78027,6432.200195,20376.58984,10829.32031,8510.799805
08-07-2015,3507.191895,10747.29981,6490.700195,19737.64063,10636.79981,8363.049805
09-07-2015,3709.330078,10996.41016,6581.600098,19855.5,10689.50977,8328.549805
10-07-2015,3877.802979,11315.62988,6673.399902,19779.83008,10853.91992,8360.549805
13-07-2015,3970.387939,11484.37988,6738,20089.76953,10944.84961,8459.650391
14-07-2015,3924.487061,11516.90039,6753.799805,20385.33008,10993.25977,8454.099609
15-07-2015,3805.702881,11539.66016,6753.799805,20463.33008,10958.83008,8523.799805
16-07-2015,3823.176025,11716.75977,6796.5,20600.11914,11024.87012,8608.049805
17-07-2015,3957.352051,11673.41992,6775.100098,20650.91992,10987.16992,8609.849609
21-07-2015,4017.675049,11604.79981,6769.100098,20841.9707,10919,8529.450195
22-07-2015,4026.044922,11520.66992,6667.299805,20593.66992,10899.86035,8633.5
23-07-2015,4123.922852,11512.11035,6655,20683.94922,10840.73047,8589.799805
24-07-2015,4070.907959,11347.4502,6579.799805,20544.5293,10721.9502,8521.549805
27-07-2015,3725.558105,11056.40039,6505.100098,20350.09961,10656.61035,8361
28-07-2015,3663.001953,11173.91016,6555.299805,20328.89063,10790.17969,8337
29-07-2015,3789.167969,11211.84961,6631,20302.91016,10883.91016,8375.049805
30-07-2015,3705.766113,11257.15039,6668.899902,20522.83008,10881.75,8421.799805
31-07-2015,3663.726074,11308.99023,6696.299805,20585.24023,10882.28027,8532.849609
03-08-2015,3622.905029,11443.71973,6688.600098,20548.10938,10841.25977,8543.049805
04-08-2015,3756.544922,11456.07031,6686.600098,20520.35938,10824.7002,8516.900391
05-08-2015,3694.572998,11636.29981,6752.399902,20614.06055,10847.84961,8567.950195
06-08-2015,3661.539063,11585.09961,6747.100098,20664.43945,10799.44043,8588.650391
07-08-2015,3744.205078,11490.83008,6718.5,20724.56055,10763.15039,8564.599609
10-08-2015,3928.415039,11604.78027,6736.200195,20808.68945,10906.04981,8525.599609
11-08-2015,3927.907959,11293.65039,6664.5,20720.75,10802.08984,8462.349609
12-08-2015,3886.320068,10924.61035,6571.200195,20392.76953,10779.45996,8349.450195
13-08-2015,3954.555908,11014.62988,6568.299805,20595.55078,10745.30957,8355.849609
14-08-2015,3965.334961,10985.13965,6550.700195,20519.44922,10782.24023,8518.549805
17-08-2015,3993.667969,10940.33008,6550.299805,20620.25977,10818.57031,8477.299805
18-08-2015,3748.164063,10915.91992,6526.299805,20554.4707,10792.79981,8466.549805
19-08-2015,3794.108887,10682.15039,6403.5,20222.63086,10687.03027,8495.150391
20-08-2015,3664.291016,10432.19043,6367.899902,20033.51953,10475.75,8372.75
21-08-2015,3507.743896,10124.51953,6187.700195,19435.83008,10195.69043,8299.950195
24-08-2015,3209.905029,9648.429688,5898.899902,18540.67969,9789.94043,7809
